C:\Users\Utilizador\Desktop\Visual Studio Projetos\Projeto Computação Gráfica\Imagens-Projeto\;;;;;;;;;;;;;
ColHeaders;Level;Limit_Sign;Warning_Sign;Prohibition_Sign;Center_1_x;Center_1_y;Center_2_x;Center_2_y;Center_3_x;Center_3_y;Number_1;Number_2;Number_3
nivel 1 - 70(2).png;1;1;0;0;1180;345;-1;-1;-1;-1;70;-1;-1
nivel 1 - 70(3).png;1;1;0;0;1273;256;-1;-1;-1;-1;70;-1;-1
nivel 1 - 70(4).png;1;1;0;0;1339;327;-1;-1;-1;-1;70;-1;-1
nivel 1 - 70.png;1;1;0;0;1506;408;-1;-1;-1;-1;70;-1;-1
nivel 1 - 80.png;1;1;0;0;1076;265;-1;-1;-1;-1;80;-1;-1
nivel 1 - 90.png;1;1;0;0;1471;355;-1;-1;-1;-1;90;-1;-1
nivel 1 - 60.png;1;1;0;0;1287;316;-1;-1;-1;-1;60;-1;-1
nivel 1- 40.png;1;1;0;0;785;224;-1;-1;-1;-1;40;-1;-1
nivel 2 - 100.png;2;1;0;0;1515;308;-1;-1;-1;-1;100;-1;-1
nivel 2 - 120.png;2;1;0;0;1330;317;-1;-1;-1;-1;120;-1;-1
nivel 3 - peso.png;3;0;0;1;1310;336;-1;-1;-1;-1;-1;-1;-1
nivel 3 - tonelagem.png;3;0;0;1;1049;240;-1;-1;-1;-1;-1;-1;-1
nivel 3 - ultrapassar + 40.png;3;1;0;1;1295;186;1287;400;-1;-1;-1;40;-1
nivel 3 - ultrapassar + 50.png;3;1;0;1;1352;270;1349;541;-1;-1;-1;50;-1
nivel 3 - ultrapassar.png;3;0;0;1;1387;222;-1;-1;-1;-1;-1;-1;-1
nivel 4 - curva dir+ultrapassar.png;4;0;1;1;1295;349;1292;479;-1;-1;-1;-1;-1
nivel 4 - curva+ultrapassar.png;4;0;1;1;1282;410;1284;544;-1;-1;-1;-1;-1
nivel 4 - curva-perigosa.png;4;0;1;0;1440;420;-1;-1;-1;-1;-1;-1;-1
nivel 4 - curva-perigosa-esq2.png;4;0;1;0;1517;217;-1;-1;-1;-1;-1;-1;-1
nivel 4 - entroncamento.png;4;0;1;0;1308;325;-1;-1;-1;-1;-1;-1;-1
nivel 4 - entroncamento2.png;4;0;1;0;1304;322;-1;-1;-1;-1;-1;-1;-1
nivel 4 - entroncamento-esquerda.png;4;0;1;0;1336;276;-1;-1;-1;-1;-1;-1;-1
nivel 4 - lomba.png;4;0;1;0;1140;238;-1;-1;-1;-1;-1;-1;-1
nivel 4 - passadeira (2).png;4;0;1;0;1214;341;-1;-1;-1;-1;-1;-1;-1
nivel 4 - passadeira.png;4;0;1;0;1199;342;-1;-1;-1;-1;-1;-1;-1
nivel 4 - passadeira3.png;4;0;1;0;881;209;-1;-1;-1;-1;-1;-1;-1
nivel 4 - prioridade + 50.png;4;1;1;0;1282;422;1285;245;-1;-1;-1;50;-1
nivel 4 - prioridade e proibido virar.png;4;0;1;1;966;370;970;205;-1;-1;-1;-1;-1
nivel 4 - rotunda + 70.png;4;1;1;0;1079;221;1077;420;-1;-1;-1;70;-1
nivel 4 - rotunda.png;4;0;1;0;1244;347;-1;-1;-1;-1;-1;-1;-1
nivel 4 -curva-perigosa-esq.png;4;0;1;0;1606;271;-1;-1;-1;-1;-1;-1;-1
nivel 5 - 2 limites.JPG;5;2;0;1;984;432;1177;356;971;354;60;60;-1
nivel 5 - 40 + 2 outros.png;5;1;0;2;440;406;436;279;1682;530;40;-1;-1
nivel 5.png;5;0;2;1;144;580;2815;399;3042;467;-1;-1;-1
